GKZ,Gemeindeverbandsname,Deutschlandatlas_VBGEM1223__pendel,Deutschlandatlas_VBGEM1222__preis_miet_best,Deutschlandatlas_VBGEM1222__reg_energie,Deutschlandatlas_VBGEM1219__oenv,Deutschlandatlas_VBGEM1219__p_ozmz_miv,Deutschlandatlas_VBGEM1219__p_ozmz_oev
01053943,Lütau,29.11,6.42,9.70376091422701,68.4,15.86,37.69
01053958,Lauenburgische Seen,24.65,6.73,1.09996026204017,76.0,14.94,30.25
01053973,Schwarzenbek-Land,27.98,7.08,3.57849043406706,79.7,15.55,38.26
01053991,Sandesneben-Nusse,27.63,6.63,1.97525485081748,83.4,17.02,41.78
01054033,"Friedrichstadt, Stadt",23.13,6.51,0.539092367906067,100.0,17.62,43.58
01054056,"Husum, Stadt",14.79,7.25,1.84996313461133,99.3,4.57,13.83
01054108,Reußenköge,17.61,5.25,944.120062305296,0.0,23.51,54.08
01054138,"Tönning, Stadt",26.65,6.52,1.15582185903984,86.4,23.03,43.09
01054168,Sylt,7.39,11.49,0.203075337546682,95.6,93.09,97.41
01054917,Eiderstedt,16.81,7.91,7.89339155787641,75.2,33.17,69.46
01054939,Landschaft Sylt,9.96,11.44,0.152709227467811,97.8,101.95,112.7
01054953,Viöl,19.7,6.11,44.0251763452318,53.3,17.42,32.16
01054959,Pellworm,14.22,7.06,13.0077251184834,0.0,89.65,89.77
01054988,Föhr-Amrum,7.34,9.13,1.68357088442958,85.6,107.23,149.34
01054989,Südtondern,25.5,6.36,28.3143211176601,67.1,40.27,59.2
01054992,Nordsee-Treene,20.12,6.28,11.818022191459,75.5,12.87,32.44
01054994,Mittleres Nordfriesland,21.07,6.13,28.4393102564103,71.5,22.86,44.18
01055001,Ahrensbök,25.46,6.46,3.59393505726768,66.1,18.07,41.92
01055004,"Bad Schwartau, Stadt",17.47,7.95,0.175290150580104,97.0,9.62,28.92
01055010,Dahme,25.67,7.47,0.633533834586466,94.8,37.82,95.75
01055012,"Eutin, Stadt",21.0,7.03,3.49228731124898,99.1,4.06,9.14
01055016,Grömitz,18.4,8.26,6.88520203129289,53.7,29.97,74.82
01055018,Grube,23.32,6.99,0.971906577693041,73.6,36.12,93.1
01055021,"Heiligenhafen, Stadt",24.12,7.62,1.15876377277599,84.0,39.02,105.77
01055025,Kellenhusen (Ostsee),21.98,7.71,0.494370491803279,87.1,35.33,94.06
01055028,Malente,20.82,6.93,0.297363528227651,93.2,13.72,24.65
01055032,"Neustadt in Holstein, Stadt",17.72,6.8,3.06018785566477,97.0,22.94,49.63
01055033,"Oldenburg in Holstein, Stadt",20.31,6.54,0.474636665994759,83.6,31.99,71.52
01055035,Ratekau,20.8,7.0,0.314088127853881,91.3,12.76,35.88
01055040,Stockelsdorf,17.35,7.47,2.55256083572306,92.5,8.75,26.08
01055041,Süsel,23.62,6.4,3.03108512739482,82.4,8.75,23.99
01055042,Timmendorfer Strand,21.82,9.53,0.156807078417765,95.0,17.25,46.95
01055044,Scharbeutz,27.6,8.79,1.43650830564784,83.3,15.88,39.06
01055046,"Fehmarn, Stadt",14.32,7.48,15.7583307918774,62.5,54.74,121.28
01055943,Oldenburg-Land,22.73,6.43,22.3204944163506,56.7,35.39,94.56
01055946,Lensahn,21.68,6.13,12.8180917495611,69.3,26.73,62.61
01055991,Ostholstein-Mitte,22.53,6.82,7.25522642792384,56.3,16.55,48.13
01056002,"Barmstedt, Stadt",21.52,7.56,0.207426058325494,98.6,14.44,27.6
01056005,Bönningstedt,17.26,8.74,0.33300783801437,83.2,13.48,26.64
01056015,"Elmshorn, Stadt",21.59,7.75,0.154496435042937,99.7,5.02,8.56
01056018,Halstenbek,17.66,9.23,0.220179497163199,94.1,12.14,24.38
01056021,Hasloh,19.55,8.6,0.257049699189118,94.5,12.54,30.88
01056025,Helgoland,13.94,9.69,0.138208300079808,0.0,121.91,0.0
01056039,"Pinneberg, Stadt",19.19,8.24,0.155864698841437,96.7,4.79,11.48
01056041,"Quickborn, Stadt",21.73,8.62,0.394433837130611,97.3,16.07,26.08
01056043,Rellingen,18.22,9.01,0.269395517826825,98.8,9.63,20.45
01056044,"Schenefeld, Stadt",16.83,9.28,0.0954543055766986,99.4,13.4,31.62
01056048,"Tornesch, Stadt",21.72,8.23,0.429281672473868,87.5,13.38,24.0
01056049,"Uetersen, Stadt",19.63,7.58,0.120644161564078,99.0,13.4,26.37
01056050,"Wedel, Stadt",21.16,8.79,0.130793734437431,98.4,4.24,11.55
01056916,Elmshorn-Land,22.48,7.83,2.40114093860685,79.8,8.37,18.64
01056936,Hörnerkirchen,26.04,6.69,1.7447114208853,61.7,17.25,38.28
01056960,Rantzau,21.32,6.95,1.43589426779624,62.9,12.34,37.28
01056987,Pinnau,18.72,8.35,0.62933922876196,94.7,9.42,19.42
01056990,Geest und Marsch Südholstein,20.54,7.87,0.93687316427419,91.8,9.26,21.81
01057001,Ascheberg (Holstein),25.35,6.11,0.636257748776509,96.0,23.72,39.0
01057008,Bönebüttel,19.89,6.73,4.94751973371374,75.3,7.51,10.55
01057009,Bösdorf,26.94,6.29,0.590948275862069,39.6,12.63,51.9
01057057,"Plön, Stadt",24.3,6.64,0.223319539201432,99.7,17.11,33.27
01057062,"Preetz, Stadt",18.95,6.98,0.196564216175736,98.0,23.18,42.34
01057091,"Schwentinental, Stadt",17.53,7.46,0.443968913027943,99.4,14.88,31.43
01057927,Amt Lütjenburg,26.86,6.15,1.12511672574927,81.2,29.99,67.49
01057939,Großer Plöner See,25.95,6.1,1.89006428876548,82.0,18.16,44.05
01057947,Preetz-Land,22.48,6.2,2.63817462702587,42.3,20.64,46.6
01057955,Probstei,22.68,7.34,1.36411894722826,87.4,24.54,47.85
01057975,Selent/ Schlesen,23.27,5.99,1.05083355437666,63.1,25.36,48.48
01057982,Schrevenborn,17.62,7.89,0.349609304449292,92.5,16.45,36.33
01057985,Bokhorst-Wankendorf,24.69,6.12,5.57894549763033,55.6,16.35,27.54
01058005,Altenholz,19.59,7.57,0.310472854992474,94.8,13.7,31.05
01058034,"Büdelsdorf, Stadt",17.47,7.02,0.374168405082496,97.9,4.93,9.94
01058043,"Eckernförde, Stadt",23.09,7.47,0.363569303017622,99.4,4.68,8.97
01058092,Kronshagen,16.33,8.35,0.120467416862613,100.0,8.64,24.18
01058135,"Rendsburg, Stadt",17.84,6.46,0.340998318932186,99.5,5.25,8.72
01058169,Wasbek,22.49,6.67,24.4947950819672,93.0,9.42,21.53
01058903,Achterwehr,22.91,6.76,2.52936171667949,81.7,13.49,39.02
01058922,Dänischenhagen,26.01,7.44,1.24836804875395,70.9,18.52,48.89
01058924,Dänischer Wohld,21.66,6.94,2.03428949497284,64.2,16.58,36.48
01058930,Flintbek,,7.03,0.368627803766343,83.8,15.88,31.72
01058933,Fockbek,21.41,7.27,0.879606714413608,69.9,7.32,17.53
01058947,Hohner Harde,24.9,5.74,4.05491158502721,55.5,16.04,29.55
01058953,Jevenstedt,23.72,6.29,5.4859378759237,60.9,12.66,21.84
01058959,Molfsee,,7.62,0.342189793383764,90.4,12.51,31.91
01058964,Nortorfer  Land,24.51,6.4,7.95179517625232,65.4,17.76,36.76
01058988,Eiderkanal,23.35,6.47,3.37362120282295,86.0,13.66,24.01
01058989,Bordesholm,22.61,7.11,4.52424815163328,53.9,17.46,37.06
01058990,Hüttener Berge,25.27,6.27,7.07814222105815,55.9,14.05,25.32
01058993,Schlei-Ostsee,22.88,6.69,2.89870402884465,57.4,13.69,29.13
01058995,Mittelholstein,26.19,5.81,13.0874544414948,55.5,21.35,40.99
01059045,"Kappeln, Stadt",15.29,6.42,1.20644405716277,75.3,29.06,65.77
01059075,"Schleswig, Stadt",18.18,6.56,0.654617451223289,98.8,4.27,14.02
01059113,"Glücksburg (Ostsee), Stadt",16.87,7.27,0.438217029951388,83.9,15.83,34.97
01059120,Harrislee,12.16,6.88,0.481490428211587,95.8,7.83,23.39
01059183,Handewitt,15.09,6.99,3.13404451300132,85.9,8.23,20.95
01059912,Eggebek,19.78,6.25,37.5262715443686,78.5,19.02,40.23
01059915,Haddeby,25.51,6.44,3.14448648349213,61.5,7.87,29.79
01059919,Hürup,16.52,6.31,4.24094032056383,73.1,12.34,30.95
01059920,Kappeln-Land,17.45,6.15,3.24086671223513,38.6,27.67,56.93
01059937,Langballig,18.22,6.44,4.43016838610222,50.7,15.9,37.36
01059940,Oeversee,18.21,6.73,9.17603011358633,75.4,14.26,32.46
01059949,Amt Mittelangeln,18.99,6.36,3.6631191103307,67.1,21.9,47.78
01059952,Schafflund,20.43,6.26,46.5132362421092,66.4,18.87,42.52
01059974,Süderbrarup,21.16,6.1,4.93884595278246,57.8,23.99,45.68
01059987,Südangeln,19.38,5.85,8.75831079275534,67.2,13.6,33.67
01059990,Geltinger Bucht,21.91,6.23,3.99250740059205,38.5,32.33,69.07
01059993,Arensharde,22.62,6.2,15.3465220648325,78.7,14.72,37.98
01059996,Kropp-Stapelholm,26.16,5.99,7.91591090025457,78.4,20.66,42.77
01060004,"Bad Bramstedt, Stadt",27.56,7.4,0.226373622072924,81.4,14.22,33.18
01060005,"Bad Segeberg, Stadt",20.38,7.53,0.324550244223698,99.4,3.48,9.5
01060014,"Buchholz (Forstgutsbez.),gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
01060019,Ellerau,22.36,8.51,0.727454256670902,99.5,13.96,30.0
01060039,Henstedt-Ulzburg,23.69,8.57,0.380018112488084,98.0,11.64,23.29
01060044,"Kaltenkirchen, Stadt",21.81,7.47,0.649753759877645,98.6,3.27,10.58
01060063,"Norderstedt, Stadt",16.61,8.98,0.164401819736199,99.3,6.44,13.83
01060092,"Wahlstedt, Stadt",18.98,6.24,0.398976295259052,97.9,2.53,6.5
01060905,Bad Bramstedt-Land,27.5,6.63,11.6049036541889,46.9,16.15,48.76
01060924,Bornhöved,25.11,5.97,1.49580570712944,82.8,14.64,32.22
01060934,Itzstedt,27.25,7.23,0.742209515795915,83.2,15.9,35.3
01060943,Kaltenkirchen-Land,,,,79.8,9.01,22.01
01060948,Kisdorf,23.97,7.1,1.65567597713864,83.6,10.11,23.44
01060953,Leezen,25.62,6.35,2.19330183639399,60.9,9.26,23.04
01060963,Boostedt-Rickling,25.36,6.45,0.920078464458975,92.2,10.95,20.04
01060986,Trave-Land,25.73,6.58,4.74357525722685,63.0,10.04,27.05
01061029,"Glückstadt, Stadt",24.78,6.27,0.236336242535599,94.1,24.19,33.59
01061046,"Itzehoe, Stadt",21.08,6.33,0.299013082026164,98.8,4.13,10.18
01061113,"Wilster, Stadt",24.44,5.77,0.65414625772488,99.7,12.64,26.63
01061904,Breitenburg,24.05,6.04,0.505566742081448,81.7,8.61,15.2
01061934,Horst-Herzhorn,25.35,6.87,7.39546687085886,65.9,13.82,23.76
01061938,Itzehoe-Land,25.3,5.82,8.44872757923129,62.6,8.98,22.04
01061953,Krempermarsch,26.57,6.02,22.2407766311942,75.6,12.42,21.51
01061968,Schenefeld,28.69,5.73,24.3330560301277,48.0,16.27,38.92
01061979,Wilstermarsch,26.25,5.45,49.7815138654818,39.0,16.25,46.37
01061989,Kellinghusen,27.67,5.95,4.06732828348788,75.4,17.44,32.05
01062001,"Ahrensburg, Stadt",19.85,10.46,0.292591237068591,98.8,4.36,11.11
01062004,"Bad Oldesloe, Stadt",22.73,7.6,1.39842065369962,98.7,3.48,9.55
01062006,"Bargteheide, Stadt",21.6,8.85,0.404026010674192,98.3,12.17,21.66
01062009,Barsbüttel,15.9,9.26,0.260349114233354,96.0,11.68,24.51
01062018,"Glinde, Stadt",16.2,8.56,0.148044966840999,92.0,2.95,5.27
01062023,Großhansdorf,21.9,8.78,0.290881764582017,89.6,7.06,26.82
01062053,Oststeinbek,15.2,8.89,1.26784002699966,95.7,6.17,10.34
01062060,"Reinbek, Stadt",19.73,8.7,0.243394168769274,97.4,4.65,7.03
01062061,"Reinfeld (Holstein), Stadt",26.18,7.84,0.338811416026345,96.5,10.6,25.6
01062090,Ammersbek,22.35,8.47,0.198616487455197,96.3,11.41,20.39
01062907,Bad Oldesloe-Land,25.2,7.18,2.96915687940852,87.2,10.05,24.21
01062918,Bargteheide-Land,24.21,7.83,0.629759436168081,88.9,11.81,26.42
01062944,Nordstormarn,23.54,6.75,2.10471272567151,85.9,12.29,34.73
01062962,Siek,20.29,8.3,0.686441065357008,88.4,11.21,29.6
01062970,Trittau,23.72,8.17,0.482521342726896,91.2,17.26,41.49
02000000,"Hamburg, Freie und Hansestadt",11.68,9.16,0.151015490015972,99.1,11.65,25.91
03101000,"Braunschweig, Stadt",14.26,7.27,0.269712041905609,99.5,5.8,17.35
03102000,"Salzgitter, Stadt",15.69,5.6,1.68522010942342,98.7,7.95,20.94
03103000,"Wolfsburg, Stadt",10.1,7.21,0.335165463913434,99.8,6.64,18.39
03151009,"Gifhorn, Stadt",18.0,6.74,0.311168710601719,95.2,3.8,15.69
03151025,Sassenburg,20.05,6.36,1.30079540191862,99.3,9.14,26.12
03151040,"Wittingen, Stadt",28.42,5.38,4.64545452171642,86.1,4.78,16.23
03151501,"Giebel, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03151901,Boldecker Land,14.71,7.29,2.61613192440182,89.3,10.56,34.61
03151902,Brome,21.93,6.36,3.54501914071646,97.1,16.91,37.43
03151903,Hankensbüttel,29.93,5.26,9.44791188842152,52.8,14.79,36.13
03151904,Isenbüttel,19.38,7.08,1.44249885612608,91.7,12.0,32.02
03151905,Meinersen,26.85,5.82,1.24732810527338,90.5,16.7,35.53
03151906,Papenteich,21.23,6.71,0.890985092667204,97.5,13.82,39.25
03151907,Wesendorf,26.53,5.61,5.01039202237464,92.2,15.33,41.61
03153002,"Bad Harzburg, Stadt",21.35,5.81,1.05413087680559,95.2,4.16,10.34
03153007,"Langelsheim, Stadt",20.12,4.57,0.985127368211128,96.4,10.84,30.61
03153008,Liebenburg,22.67,4.8,1.3372188560982,96.2,16.24,44.09
03153012,"Seesen, Stadt",21.58,5.27,2.22687775979957,71.8,5.43,13.5
03153016,"Braunlage, Stadt",18.87,5.0,0.431612712623098,87.7,26.13,39.42
03153017,"Goslar, Stadt",18.63,5.8,0.868329283110571,97.1,6.96,18.29
03153018,"Clausthal-Zellerfeld, Berg- und Universitätsstadt",19.33,5.49,1.37364248331807,97.1,6.08,12.56
03153504,"Harz (Landkreis Goslar), gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03153901,Lutter am Barenberge,,,,99.4,15.47,28.07
03154013,"Königslutter am Elm, Stadt",22.97,5.52,1.64150869265047,97.0,14.62,34.12
03154014,Lehre,19.09,6.63,0.53464991320162,91.5,14.06,30.01
03154019,"Schöningen, Stadt",25.45,4.77,0.904847890088322,81.8,14.68,30.15
03154028,"Helmstedt, Stadt",21.89,5.33,1.19941917840102,99.4,4.19,13.61
03154501,"Brunsleberfeld, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03154502,"Helmstedt, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03154503,"Königslutter, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03154504,"Mariental, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03154506,"Schöningen, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03154901,Grasleben,23.65,5.37,2.02918390066367,85.2,9.45,18.23
03154902,Heeseberg,30.01,3.82,18.745822427369,97.3,23.13,55.54
03154903,Nord-Elm,25.53,4.63,3.64068774840159,91.5,9.46,22.73
03154904,Velpke,17.35,6.17,2.36714581924724,95.3,15.34,30.44
03155001,"Bad Gandersheim, Stadt",20.8,4.68,3.6016996440536,62.7,4.88,9.36
03155002,"Bodenfelde, Flecken",21.46,4.0,1.03439790918001,93.7,13.46,32.29
03155003,"Dassel, Stadt",21.51,4.23,2.33012146834399,62.0,15.44,26.92
03155005,"Hardegsen, Stadt",21.3,5.0,3.39662372002592,77.1,17.88,30.32
03155006,Kalefeld,21.44,4.2,3.8465202824766,76.8,13.63,24.23
03155007,Katlenburg-Lindau,19.51,4.44,0.873786954087346,90.5,14.73,29.59
03155009,"Moringen, Stadt",17.32,4.73,0.659387378362908,70.8,15.99,30.72
03155010,"Nörten-Hardenberg, Flecken",18.01,5.57,1.72605536970816,85.2,14.42,26.18
03155011,"Northeim, Stadt",17.55,5.53,0.472251732336957,91.1,5.41,11.47
03155012,"Uslar, Stadt",20.03,4.36,1.65137208974178,80.1,6.16,10.76
03155013,"Einbeck, Stadt",18.46,5.13,7.82162565087217,70.7,7.41,18.92
03155501,"Solling (Landkreis Northeim), gemfr. Geb.",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03157001,Edemissen,26.2,5.86,5.77213161682392,94.2,11.84,30.89
03157002,Hohenhameln,23.18,5.15,6.14077345633714,96.5,14.48,34.21
03157005,Lengede,17.77,6.45,1.74875286552977,98.0,7.23,26.1
03157006,"Peine, Stadt",20.02,6.15,1.3295829491743,95.1,4.23,11.64
03157007,Vechelde,20.24,6.5,0.901723383462729,99.4,12.44,28.22
03157008,Wendeburg,21.47,6.3,0.579561183836084,98.5,11.94,31.31
03157009,Ilsede,21.65,5.41,3.27187363775556,99.1,10.02,23.5
03158006,Cremlingen,18.95,6.0,1.22598908871999,96.9,11.71,33.99
03158037,"Wolfenbüttel, Stadt",17.95,6.73,0.314540517454111,99.8,3.21,11.09
03158039,Schladen-Werla,26.38,5.25,0.68272351719363,95.0,15.01,41.7
03158501,"Am Großen Rhode, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03158502,"Barnstorf-Warle, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03158503,"Voigtsdahlum, gemfr. Gebiet",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
03158902,Baddeckenstedt,23.27,4.85,7.23243302629054,96.8,14.38,38.91
03158903,Oderwald,23.92,4.89,7.09879994081089,82.2,11.92,34.13
03158906,Sickte,19.56,5.86,0.709579346054272,98.5,12.29,31.36
03158907,Elm-Asse,24.08,5.31,4.67522306682708,97.6,15.4,32.08
03159001,"Adelebsen, Flecken",21.63,4.82,3.21050996143959,95.1,17.2,32.56
03159002,Bad Grund (Harz),20.6,4.14,1.29268461917673,70.2,10.47,23.68
03159003,"Bad Lauterberg im Harz, Stadt",18.18,5.02,1.55333873943867,94.6,21.01,44.44
03159004,"Bad Sachsa, Stadt",19.36,4.95,0.95465568458007,82.2,26.76,54.11
03159007,"Bovenden, Flecken",14.52,6.72,0.633026550552251,98.0,11.02,28.42
03159010,"Duderstadt, Stadt",19.74,5.41,0.868837967070886,90.9,4.08,16.49
03159013,Friedland,25.31,5.71,18.3310577651515,60.7,24.58,64.46
03159013,Friedland,25.31,5.68,1.11292668204015,60.7,24.58,64.46
03159013,Friedland,25.31,5.68,1.11292668204015,65.1,10.95,24.49
03159013,Friedland,25.31,5.71,18.3310577651515,65.1,10.95,24.49
03159013,Friedland,19.61,5.71,18.3310577651515,65.1,10.95,24.49
03159013,Friedland,19.61,5.68,1.11292668204015,60.7,24.58,64.46
03159013,Friedland,19.61,5.71,18.3310577651515,60.7,24.58,64.46
03159013,Friedland,19.61,5.68,1.11292668204015,65.1,10.95,24.49
03159015,Gleichen,15.72,5.13,2.89611297831271,80.1,12.01,25.82
03159016,"Göttingen, Stadt",12.35,8.38,0.416631832932591,99.7,4.15,11.54
03159017,"Hann. Münden, Stadt",16.74,5.3,1.23960586485338,95.1,3.62,11.23
03159019,"Herzberg am Harz, Stadt",17.72,5.03,1.13891433471042,91.4,13.17,26.13
03159026,"Osterode am Harz, Stadt",16.56,5.02,0.758351021169449,91.8,5.44,12.85
03159029,Rosdorf,13.35,6.52,1.31654395285133,86.6,7.05,17.4
03159034,Staufenberg,13.94,5.09,0.719253232620663,98.9,12.3,25.32
03159036,Walkenried,21.95,4.39,1.22919493220716,74.3,26.54,53.12
03159501,"Harz (Ldkr. Göttingen), gemfr. Geb.",,,,-9999.0,-9999.0,-9999.0
03159901,Dransfeld,19.81,5.03,1.71488311688312,87.4,12.46,29.13
03159902,Gieboldehausen,21.53,4.75,3.65143208704542,95.3,13.69,34.55
03159903,Hattorf am Harz,20.61,4.65,4.56063965855024,80.2,15.04,31.96
03159904,Radolfshausen,19.9,4.8,1.73471986791414,82.5,12.86,33.11
03241001,"Hannover, Landeshauptstadt",11.26,7.61,0.171257197112165,99.3,6.88,16.16
03241002,"Barsinghausen, Stadt",20.74,6.09,0.865739475480715,98.8,3.85,12.14
03241003,"Burgdorf, Stadt",21.32,6.6,0.463219420206476,98.9,3.74,10.42
03241004,"Burgwedel, Stadt",17.66,7.33,1.54117906954062,95.1,4.63,16.03
03241005,"Garbsen, Stadt",14.94,6.56,0.274733426787723,98.7,4.82,14.82
03241006,"Gehrden, Stadt",15.48,6.6,1.70613081809931,97.9,14.48,31.06
03241007,"Hemmingen, Stadt",12.55,6.68,0.718364334923158,98.5,10.61,26.39
03241008,Isernhagen,15.76,7.49,0.416517648495705,99.1,7.46,21.14
03241009,"Laatzen, Stadt",14.86,6.91,0.363320281195079,99.7,3.61,10.78
03241010,"Langenhagen, Stadt",12.24,7.18,0.351923402026478,98.0,3.35,10.48
03241011,"Lehrte, Stadt",20.23,6.32,1.11399593958459,97.0,4.64,14.82
03241012,"Neustadt am Rübenberge, Stadt",23.15,5.83,3.17853696257346,96.1,7.97,16.12
03241013,"Pattensen, Stadt",17.09,6.32,2.39002183908046,92.8,9.66,25.84
03241014,"Ronnenberg, Stadt",13.63,6.58,1.44571615791616,97.5,10.44,24.23
03241015,"Seelze, Stadt",15.45,6.34,0.698032870876749,99.7,9.94,26.59
03241016,"Sehnde, Stadt",20.27,6.38,1.47943312497413,97.5,7.72,25.13
03241017,"Springe, Stadt",22.61,5.91,0.586388726685673,96.3,5.71,15.07
03241018,Uetze,28.54,5.77,8.90722881148942,94.0,12.97,27.57
03241019,Wedemark,21.36,7.08,0.637523042865768,96.8,11.13,27.81
03241020,Wennigsen (Deister),19.63,6.01,0.56457505627462,94.2,10.58,26.57
03241021,"Wunstorf, Stadt",21.07,6.43,0.625127659574468,99.4,4.31,13.54
03251007,"Bassum, Stadt",23.43,5.82,13.1043579661424,72.7,11.58,27.89
03251012,"Diepholz, Stadt",17.92,5.75,1.95373966638394,57.2,2.91,12.73
03251037,Stuhr,15.16,6.96,0.699584737276155,88.2,6.26,18.61
03251040,"Sulingen, Stadt",21.43,5.86,4.94112790171842,71.4,3.85,10.26
03251041,"Syke, Stadt",21.65,6.45,1.78989633212414,77.6,3.67,14.1
03251042,"Twistringen, Stadt",23.06,5.79,8.13343383676344,52.0,22.54,40.67
03251044,Wagenfeld,24.65,4.89,4.26754276405105,40.0,19.29,50.53
03251047,Weyhe,17.53,7.21,0.62774791614044,87.5,9.71,32.54
03251901,Altes Amt Lemförde,18.68,5.88,4.40533560245065,41.9,17.59,36.0
03251902,Barnstorf,21.12,5.21,11.1729560196172,51.2,14.39,36.17
03251903,Bruchhausen-Vilsen,24.77,5.63,5.28620787366299,52.1,17.06,44.87
03251904,Kirchdorf,22.21,5.08,12.9788989082087,55.8,12.43,30.64
03251905,Rehden,19.91,5.28,16.2166946163366,55.6,11.21,24.39
03251906,Schwaförden,26.02,4.71,25.5639540113158,51.7,14.79,24.69
03251907,Siedenburg,24.42,4.64,15.5151033722724,55.4,14.11,29.88
03252001,"Aerzen, Flecken",15.95,4.6,3.18844247871334,82.3,10.82,27.79
03252002,"Bad Münder am Deister, Stadt",20.75,5.22,1.48068039259928,83.0,9.91,31.31
03252003,"Bad Pyrmont, Stadt",14.96,5.39,1.25707156702714,88.8,3.41,8.6
03252004,"Coppenbrügge, Flecken",21.25,4.36,9.22452030243629,98.2,14.21,34.21
03252005,Emmerthal,16.5,4.64,3.88042993404363,84.3,11.33,27.87
03252006,"Hameln, Stadt",14.49,5.5,1.0989047750626,99.9,3.58,13.34
03252007,"Hessisch Oldendorf, Stadt",19.5,4.63,1.26949523241955,81.9,10.13,29.6
03252008,"Salzhemmendorf, Flecken",22.8,4.38,2.97758232032416,95.4,21.82,46.66
03254002,"Alfeld (Leine), Stadt",17.52,5.31,1.04841526464776,96.4,3.96,15.49
03254003,Algermissen,20.85,5.56,1.94624890988372,92.2,10.89,31.54
03254005,"Bad Salzdetfurth, Stadt",18.27,5.3,2.68037684911243,97.5,15.15,36.15
03254008,"Bockenem, Stadt",23.52,4.81,1.73244455747711,96.7,14.51,38.62
03254011,Diekholzen,16.88,5.35,0.394309247174916,90.3,9.76,23.15
03254014,"Elze, Stadt",22.79,4.99,0.965156277244987,93.6,17.64,37.75
03254017,Giesen,17.96,5.54,1.48985275380189,98.6,6.9,19.66
03254020,Harsum,16.9,5.32,1.47096590312992,94.0,8.85,26.09
03254021,"Hildesheim, Stadt",14.1,6.34,0.26397044905653,99.2,4.79,13.24
03254022,Holle,25.91,5.17,2.42187362946303,97.6,14.24,36.93
03254026,Nordstemmen,21.42,5.34,2.3258052786403,96.5,11.13,25.32
03254028,"Sarstedt, Stadt",18.37,6.11,1.54007752723588,99.6,2.27,11.39
